STATISTIC CODE,Statistic,TLIST(A1),Year,COUNT_PARTNER,Trade Partner,RUSECTION,Industry Sector,UNIT,VALUE
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,64.14285714
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,F,Construction,Count,1351.673304
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3078.504776
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,H,Transportation And Storage,Count,537.9857133
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,29.81111111
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,J,Information And Communication,Count,879.119697
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,L,Real Estate Activities,Count,230.9281768
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,1887.512459
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,409.6474073
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,P,Education,Count,270.6417178
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,45.47579878
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,135.1363636
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,S,Other Service Activities,Count,144.1360759
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,ALL,All industries,Count,8452.129235
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,99.24
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,B,Mining And Quarrying,Count,71.0952381
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,C,Manufacturing,Count,2030.857479
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,16.28571429
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,54.28571429
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,F,Construction,Count,720.6120055
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,2556.390538
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,H,Transportation And Storage,Count,343.5799571
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,I,Accommodation And Food Service Activities,Count,5.111111111
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,J,Information And Communication,Count,682.0878788
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,L,Real Estate Activities,Count,48.92403315
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,M,"Professional, Scientific And Technical Activities",Count,1130.849012
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,N,Administrative And Support Service Activities,Count,287.75635
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,P,Education,Count,140.2208589
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,41.54698232
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,135.1363636
BESESCOUNT,Number of Businesses,2015,2015,EXPORT,Exporter,S,Other Service Activities,Count,88.15
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,ALL,All industries,Count,11734.2503
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,74.69306931
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,B,Mining And Quarrying,Count,57.97857143
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,C,Manufacturing,Count,2387.451953
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,59.25
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,78.91666667
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,F,Construction,Count,1501.31269
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,2949.481055
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,H,Transportation And Storage,Count,648.3171153
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,49.77696078
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,J,Information And Communication,Count,894.6732426
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,L,Real Estate Activities,Count,252.3989362
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,1922.514458
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,252.0111444
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,P,Education,Count,183.1388889
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,95.92172204
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,184.4003497
BESESCOUNT,Number of Businesses,2016,2016,EXTERN,External Seller,S,Other Service Activities,Count,142.013473
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,ALL,All industries,Count,8501.555447
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,59.93069307
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,B,Mining And Quarrying,Count,56.97857143
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,C,Manufacturing,Count,2145.879479
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,57.25
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,54.45833333
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,F,Construction,Count,842.0564492
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,2399.773845
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,H,Transportation And Storage,Count,494.4116632
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,I,Accommodation And Food Service Activities,Count,7.492647059
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,J,Information And Communication,Count,681.4466553
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,L,Real Estate Activities,Count,27.71808511
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,M,"Professional, Scientific And Technical Activities",Count,1127.970575
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,N,Administrative And Support Service Activities,Count,162.8029915
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,P,Education,Count,107.2380952
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,55.02172204
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,131.7604895
BESESCOUNT,Number of Businesses,2016,2016,EXPORT,Exporter,S,Other Service Activities,Count,89.36515152
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,ALL,All industries,Count,13790.75853
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,125.673913
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,B,Mining And Quarrying,Count,50.01666667
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,C,Manufacturing,Count,2493.642797
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,99
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,62.80952381
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,F,Construction,Count,1727.446845
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3682.391762
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,H,Transportation And Storage,Count,814.0376603
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,167.0923441
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,J,Information And Communication,Count,1089.359219
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,L,Real Estate Activities,Count,255.8070776
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,2279.350735
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,374.2188536
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,P,Education,Count,199.9811912
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,57.47757937
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,213.6904762
BESESCOUNT,Number of Businesses,2017,2017,EXTERN,External Seller,S,Other Service Activities,Count,98.76188769
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,ALL,All industries,Count,10037.0222
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,79.10869565
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,B,Mining And Quarrying,Count,42.43333333
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,C,Manufacturing,Count,2205.475406
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,36.47619048
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,60.80952381
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,F,Construction,Count,1107.129558
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,2792.777075
BESESCOUNT,Number of Businesses,2017,2017,EXPORT,Exporter,H,Transportation And Storage,Count,646.1065705
